time	V(n005)
Step Information: L=25m Duty=3m  (Run: 21/44)
5.041725815054681e-03	2.629110e-01
5.217507065054677e-03	3.205267e-01
5.412819565054673e-03	3.786482e-01
5.647194565054668e-03	4.410176e-01
5.920632065054663e-03	5.047767e-01
6.233132065054656e-03	5.673410e-01
6.584694565054648e-03	6.265572e-01
6.994850815054640e-03	6.832310e-01
7.483132065054629e-03	7.366554e-01
8.000000000000000e-03	7.801899e-01
8.001000000000001e-03	7.802911e-01
8.001084499659746e-03	7.780084e-01
8.001253498979240e-03	7.749071e-01
8.001377156087321e-03	7.737939e-01
8.001468944610780e-03	7.734585e-01
8.001532773904387e-03	7.732120e-01
8.001574943442988e-03	7.726553e-01
8.001602894197334e-03	7.716668e-01
8.001628205421111e-03	7.703722e-01
8.001655873777470e-03	7.688848e-01
8.001684650107241e-03	7.671800e-01
8.001731467417991e-03	7.628178e-01
8.001767098888994e-03	7.552753e-01
8.001791747754009e-03	6.476808e-01
8.001823126707039e-03	2.764286e-01
8.001823494950381e-03	2.636129e-01
8.001824231437065e-03	2.291488e-01
8.001825704410433e-03	1.784643e-01
8.001827609878449e-03	1.305749e-01
8.001831420814474e-03	7.129440e-02
8.001839042686528e-03	2.007256e-02
8.001852640852569e-03	-2.628327e-03
8.001871656366309e-03	-5.659058e-03
8.001903205042876e-03	-4.854297e-03
8.001936902646868e-03	-4.178251e-03
8.001999999999999e-03	-3.406411e-03
8.002006309735313e-03	-3.136017e-03
8.002018929205941e-03	-2.652812e-03
8.002044168147194e-03	-1.882922e-03
8.002075972437309e-03	-1.195681e-03
8.002107807519802e-03	-7.516993e-04
8.002142574671779e-03	-4.510591e-04
8.002174296778481e-03	-2.815432e-04
8.002207467990297e-03	-1.729112e-04
8.002239228100960e-03	-1.082456e-04
8.002272354278441e-03	-6.654986e-05
8.002304518579754e-03	-4.141179e-05
8.002337379360427e-03	-2.554112e-05
8.002369741884018e-03	-1.585543e-05
8.002402303158386e-03	-9.820700e-06
8.002435023340616e-03	-6.069002e-06
8.002467135550265e-03	-3.781876e-06
8.002500521581853e-03	-2.315768e-06
8.002531744026282e-03	-1.462186e-06
8.002561149033700e-03	-9.599469e-07
8.002592850200597e-03	-6.091324e-07
8.002620524859810e-03	-4.125673e-07
8.002651071432568e-03	-2.579412e-07
8.002682719053904e-03	-1.649047e-07
8.002711853044867e-03	-1.041507e-07
8.002744750662087e-03	-7.457137e-08
8.002776710762716e-03	-3.689199e-08
8.002818433745944e-03	-3.138323e-08
8.002857687701738e-03	-8.408970e-09
8.002917737623877e-03	-1.600901e-08
8.002976092565370e-03	-2.934984e-09
8.003070176181837e-03	-1.395394e-08
8.003179452716915e-03	-5.332257e-09
8.003365770729118e-03	-1.359312e-08
8.003645096091989e-03	-8.411598e-09
8.004177519649037e-03	-1.229462e-08
8.005242366763136e-03	-1.023312e-08
8.271562780186141e-03	-1.088122e-08
8.545000280186135e-03	-1.086985e-08
8.818437780186129e-03	-1.088648e-08
9.091875280186124e-03	-1.093190e-08
9.365312780186118e-03	-1.100759e-08
9.638750280186112e-03	-1.111599e-08
9.892656530186106e-03	-1.124803e-08
9.970781530186105e-03	-1.117496e-08
9.980468749999999e-03	-2.606603e-08
9.980625560372210e-03	-1.878287e-08
9.980939181116633e-03	-7.511214e-09
9.981566422605479e-03	-1.259126e-08
9.982518501103647e-03	-1.006403e-08
9.984422658099984e-03	-1.192319e-08
9.996000000000001e-03	-9.404782e-09
9.997233255970690e-03	-5.428338e-09
9.998133952234482e-03	-1.169475e-08
9.998799071648277e-03	-1.930175e-08
9.999401856703446e-03	-9.442870e-09
9.999999999999998e-03	1.006535e-06
1.000000263183124e-02	9.959177e-05
1.000000789549373e-02	3.022698e-04
1.000001437766563e-02	5.426236e-04
1.000002059909999e-02	7.501671e-04
1.000003304196873e-02	1.104020e-03
1.000005402427206e-02	1.578124e-03
1.000008310217407e-02	2.044568e-03
1.000012403438040e-02	2.450040e-03
1.000018030077141e-02	2.738781e-03
1.000026242538226e-02	3.439520e-03
1.000038662764070e-02	6.009185e-02
1.000045130048935e-02	1.773961e-01
1.000048785182723e-02	2.546480e-01
1.000052158712238e-02	2.803357e-01
1.000055212782245e-02	2.810819e-01
1.000058372913396e-02	2.815009e-01
1.000063636926250e-02	2.815997e-01
1.000067724272421e-02	2.821029e-01
1.000072368401407e-02	2.836702e-01
1.000075199404249e-02	2.847625e-01
1.000077896529915e-02	2.848054e-01
1.000078816549041e-02	2.843091e-01
1.000079669937808e-02	2.838386e-01
1.000080168090196e-02	2.835068e-01
1.000080561375464e-02	2.833423e-01
1.000080837018366e-02	2.831476e-01
1.000081057975259e-02	2.830534e-01
1.000081251075739e-02	2.829643e-01
1.000081448752448e-02	2.828473e-01
1.000081633484756e-02	2.827742e-01
1.000081843263060e-02	2.826443e-01
1.000082074736556e-02	2.825527e-01
1.000082355367421e-02	2.823990e-01
1.000082712364960e-02	2.822475e-01
1.000083173610600e-02	2.820264e-01
1.000083818418084e-02	2.817535e-01
1.000084668051713e-02	2.813962e-01
1.000086011932425e-02	2.808845e-01
1.000087558091435e-02	2.803477e-01
1.000090092216596e-02	2.795860e-01
1.000092744620706e-02	2.788987e-01
1.000094695191781e-02	2.784621e-01
1.000096098857849e-02	2.781895e-01
1.000097192667863e-02	2.779883e-01
1.000097812379972e-02	2.778858e-01
1.000098760575783e-02	2.777434e-01
1.000100000000000e-02	2.780001e-01
1.000100123942422e-02	2.776389e-01
1.000100371827265e-02	2.773346e-01
1.000100867596952e-02	2.770408e-01
1.000101859136325e-02	2.764908e-01
1.000103842215072e-02	2.755164e-01
1.000107808372565e-02	2.739708e-01
1.000115740687553e-02	2.719085e-01
1.000129305586446e-02	2.699858e-01
1.000143153740366e-02	2.691820e-01
1.000167583673957e-02	2.688458e-01
1.000198177914886e-02	2.688384e-01
1.000255637370320e-02	2.690236e-01
1.000350286110242e-02	2.693453e-01
1.000539583590085e-02	2.699877e-01
1.000918178549772e-02	2.712702e-01
1.001675368469146e-02	2.738256e-01
1.012955373307894e-02	3.107678e-01
1.032486623307894e-02	3.698338e-01
1.055924123307894e-02	4.332168e-01
1.083267873307893e-02	4.980121e-01
1.114517873307892e-02	5.615932e-01
1.149674123307892e-02	6.217719e-01
1.190689748307891e-02	6.793668e-01
1.239517873307890e-02	7.336597e-01
1.261002248307889e-02	7.535047e-01
1.300050253437518e-02	7.843485e-01
1.300100000000000e-02	7.844012e-01
1.300104974656248e-02	7.827510e-01
1.300114923968745e-02	7.804679e-01
1.300134822593737e-02	7.781243e-01
1.300145844557566e-02	7.775573e-01
1.300153610699601e-02	7.772372e-01
1.300158481755968e-02	7.763879e-01
1.300161179443161e-02	7.752917e-01
1.300163881530627e-02	7.738682e-01
1.300167916136389e-02	7.715765e-01
1.300172259035659e-02	7.680266e-01
1.300175883733372e-02	7.617009e-01
1.300178391345528e-02	7.516976e-01
1.300180300469303e-02	6.507964e-01
1.300181692249671e-02	4.201453e-01
1.300181707570620e-02	4.132933e-01
1.300181738212519e-02	3.936461e-01
1.300181799496317e-02	3.585960e-01
1.300181895732324e-02	3.116817e-01
1.300182039087800e-02	2.534981e-01
1.300182325798752e-02	1.683858e-01
1.300182899220657e-02	7.558335e-02
1.300184046064467e-02	9.230496e-03
1.300185143466118e-02	-4.651520e-03
1.300187338269421e-02	-5.467172e-03
1.300190926177095e-02	-4.541478e-03
1.300192824184650e-02	-4.158687e-03
1.300196203984890e-02	-3.739587e-03
1.300200000000000e-02	-3.666660e-03
1.300200379601511e-02	-3.336548e-03
1.300201138804533e-02	-2.917919e-03
1.300202657210577e-02	-2.377502e-03
1.300205694022665e-02	-1.572587e-03
1.300209085717802e-02	-9.580649e-04
1.300212221122822e-02	-6.028910e-04
1.300215594036008e-02	-3.676068e-04
1.300218766357914e-02	-2.300193e-04
1.300222089326447e-02	-1.411847e-04
1.300225292378094e-02	-8.801473e-05
1.300228580622243e-02	-5.427292e-05
1.300231822585789e-02	-3.365722e-05
1.300235065416338e-02	-2.087450e-05
1.300238365782814e-02	-1.283728e-05
1.300241531622499e-02	-8.033777e-06
1.300244546844430e-02	-5.184987e-06
1.300247738289943e-02	-3.256787e-06
1.300250551922438e-02	-2.175899e-06
1.300253679467049e-02	-1.373973e-06
1.300256517043960e-02	-8.904983e-07
1.300259275624634e-02	-5.951092e-07
1.300261958382649e-02	-4.043509e-07
1.300264548085080e-02	-2.581181e-07
1.300267264694187e-02	-1.795268e-07
1.300269772637684e-02	-1.283551e-07
1.300272268908165e-02	-9.599056e-08
1.300274662100318e-02	-6.909285e-08
1.300276998064188e-02	-4.549563e-08
1.300279164508107e-02	-5.274619e-08
1.300281153977772e-02	1.617252e-08
1.300282707275115e-02	-7.208745e-08
1.300283965843807e-02	1.015228e-09
1.300285032755591e-02	-3.249177e-08
1.300285984579425e-02	-4.997649e-08
1.300286950535093e-02	-1.452279e-08
1.300287856224611e-02	-4.735680e-08
1.300288812534817e-02	2.196674e-09
1.300289819482730e-02	-3.777971e-08
1.300290923788033e-02	2.226699e-09
1.300292194068936e-02	-2.975181e-08
1.300293670689678e-02	-2.443550e-09
1.300295468497328e-02	-2.283665e-08
1.300297672190701e-02	-5.762514e-09
1.300300471662028e-02	-1.754025e-08
1.300304010215292e-02	-7.492104e-09
1.300308682995647e-02	-1.414068e-08
1.300314628087156e-02	-8.554818e-09
1.300322782131862e-02	-1.240274e-08
1.300333087828740e-02	-9.453163e-09
1.300347553881696e-02	-1.190135e-08
1.300367403781192e-02	-9.935484e-09
1.300399525271984e-02	-1.159212e-08
1.300786748582476e-02	-1.080668e-08
1.327316954430362e-02	-1.088177e-08
1.354660704430362e-02	-1.086945e-08
1.382004454430361e-02	-1.088512e-08
1.409348204430360e-02	-1.092954e-08
1.436691954430360e-02	-1.100417e-08
1.464035704430359e-02	-1.111135e-08
1.489426329430359e-02	-1.124371e-08
1.498383908860717e-02	-1.107768e-08
1.499157976582150e-02	-1.055058e-08
1.499600000000001e-02	-1.221039e-08
1.499900000000000e-02	-1.130531e-08
1.500000000000000e-02	1.213284e-07
1.500000440000306e-02	1.662732e-04
1.500001320000918e-02	4.895226e-04
1.500002504149459e-02	8.815660e-04
1.500003630265062e-02	1.190713e-03
1.500005882496266e-02	1.669175e-03
1.500008801632783e-02	2.105530e-03
1.500013308773765e-02	2.510922e-03
1.500019124305042e-02	2.773924e-03
1.500028101278554e-02	7.631397e-03
1.500041290046002e-02	1.073588e-01
1.500046931554539e-02	2.278575e-01
1.500050353110114e-02	2.799280e-01
1.500052762649627e-02	2.822003e-01
1.500055319322527e-02	2.826127e-01
1.500059384464130e-02	2.831121e-01
1.500063624566583e-02	2.831847e-01
1.500067669996287e-02	2.836602e-01
1.500072317622436e-02	2.851977e-01
1.500075347557853e-02	2.862809e-01
1.500078236232812e-02	2.862498e-01
1.500079107225213e-02	2.857554e-01
1.500079816648099e-02	2.854063e-01
1.500080229706937e-02	2.850962e-01
1.500080556060650e-02	2.849733e-01
1.500080806863021e-02	2.847995e-01
1.500081024952715e-02	2.846777e-01
1.500081248243971e-02	2.845814e-01
1.500081458821953e-02	2.844516e-01
1.500081691421515e-02	2.843702e-01
1.500081954538412e-02	2.842088e-01
1.500082267382703e-02	2.840863e-01
1.500082668177841e-02	2.838717e-01
1.500083200654904e-02	2.836464e-01
1.500083909819302e-02	2.833212e-01
1.500085001373396e-02	2.828816e-01
1.500086318054777e-02	2.823792e-01
1.500088527309619e-02	2.816434e-01
1.500090828843458e-02	2.809902e-01
1.500095431911137e-02	2.799602e-01
1.500100000000000e-02	2.801354e-01
1.500100456808886e-02	2.791958e-01
1.500101370426658e-02	2.783327e-01
1.500103197662203e-02	2.773948e-01
1.500106852133294e-02	2.758823e-01
1.500114161075474e-02	2.738118e-01
1.500126906992148e-02	2.717707e-01
1.500140152242774e-02	2.708523e-01
1.500162692967640e-02	2.704318e-01
1.500191708194016e-02	2.703836e-01
1.500243144416295e-02	2.705390e-01
1.500326613247536e-02	2.708220e-01
1.500493550910018e-02	2.713872e-01
1.502830678184773e-02	2.792415e-01
